id,manufacturer,model_group,model_name,subsidy_national_10k_won,subsidy_local_10k_won,subsidy_total_10k_won,sale_price
218,폴스타오토모티브코리아,Polestar 4,Polestar 4 Long Range Single Motor,181,93,274,66900000
219,폴스타오토모티브코리아,Polestar 4,Polestar 4 Long Range Dual Motor 22인치,141,72,213,83900000
220,폴스타오토모티브코리아,Polestar 4,Polestar 4 Long Range Dual Motor 20*21인치,168,86,254,71900000
